STVTERM_CODE,STVTERM_DESC,STVTERM_START_DATE,STVTERM_END_DATE,STVTERM_FA_PROC_YR,STVTERM_ACTIVITY_DATE,STVTERM_ACYR_CODE
201720,Fall 2016,8/22/2016,12/9/2016,1617,2/10/2016,2017
201730,Winter 2016 Intersession,12/19/2016,1/6/2017,1617,10/25/2017,2017
201740,Spring 2017,1/11/2017,5/5/2017,1617,2/10/2016,2017
201750,Summer 2017 Intersession,5/15/2017,6/1/2017,1617,10/25/2017,2017
201760,Summer 2017,6/5/2017,7/28/2017,1617,6/21/2016,2017
201820,Fall 2017,8/21/2017,12/8/2017,1718,2/10/2016,2018
201830,Winter 2017 Intersession,12/18/2017,1/5/2018,1718,10/25/2017,2018
201840,Spring 2018,1/10/2018,5/4/2018,1718,6/28/2016,2018
201850,Summer 2018 Intersession,5/14/2018,5/31/2018,1718,10/25/2017,2018
201860,Summer 2018,6/4/2018,7/27/2018,1718,6/28/2016,2018
201920,Fall 2018,8/20/2018,12/7/2018,1819,6/28/2016,2019
201930,Winter 2018 Intersession,12/17/2018,1/5/2019,1819,7/16/2018 10:39,2019
201940,Spring 2019,1/16/2019,5/10/2019,1819,6/28/2016,2019
201950,Summer 2019 Intersession,5/20/2019,6/7/2019,1819,7/3/2018 7:53,2019
201960,Summer 2019,6/10/2019,8/2/2019,1819,6/28/2016,2019
202020,Fall 2019,8/26/2019,12/13/2019,1920,6/28/2016,2020
202030,Winter 2019 Intersession,12/23/2019,1/10/2020,1920,9/17/2019 11:06,2020
202040,Spring 2020,1/15/2020,5/8/2020,1920,6/28/2016,2020
202050,Summer 2020 Intersession,5/18/2020,6/4/2020,1920,5/1/2019 15:48,2020
202060,Summer 2020,6/8/2020,7/31/2020,1920,6/28/2016,2020
202120,Fall 2020,8/17/2020,11/25/2020,2021,6/30/2020 12:07,2021
202130,Winter 2020 Intersession,12/14/2020,1/5/2021,2021,8/20/2020 15:43,2021
202140,Spring 2021,1/13/2021,5/7/2021,2021,8/3/2016,2021
202150,Summer 2021 Intersession,5/17/2021,6/3/2021,2021,9/17/2019 11:32,2021
202160,Summer 2021,6/7/2021,7/30/2021,2021,8/8/2016,2021
202220,Fall 2021,8/23/2021,12/10/2021,2122,8/3/2016,2022
202230,Winter 2021 Intersession,12/20/2021,1/7/2022,2122,9/30/2020 11:48,2022
202240,Spring 2022,1/12/2022,5/6/2022,2122,8/3/2016,2022
202250,Summer 2022 Intersession,5/16/2022,6/2/2022,2122,9/30/2020 11:34,2022
202260,Summer 2022,6/6/2022,7/29/2022,2122,8/8/2016,2022
202320,Fall 2022,8/22/2022,12/9/2022,2223,10/5/2021 13:06,2023
202330,Winter 2022 Intersession,12/19/2022,1/6/2023,2223,9/30/2020 11:48,2023
202340,Spring 2023,1/11/2023,5/5/2023,2223,1/12/2018,2023
202350,Summer 2023 Intersession,5/15/2023,6/1/2023,2223,10/4/2021 9:07,2023
202360,Summer 2023,6/5/2023,7/28/2023,2223,1/12/2018,2023
202420,Fall 2023,8/21/2023,12/8/2023,2324,1/12/2018,2024
202430,Winter 2023 Intersession,12/18/2023,1/5/2024,2324,9/21/2022 14:56,2024
202440,Spring 2024,1/10/2024,5/3/2024,2324,12/3/2018 9:00,2024
202450,Summer 2024 Intersession,5/13/2024,5/30/2024,2324,9/27/2022 16:34,2024
202460,Summer 2024,6/3/2024,7/26/2024,2324,12/3/2018 9:03,2024
202520,Fall 2024,8/26/2024,12/13/2024,2425,8/8/2023 11:05,2025
202530,Winter 2024 Intersession,12/23/2024,1/10/2025,2425,9/18/2023 13:32,2025
202540,Spring 2025,1/15/2025,5/9/2025,2425,1/14/2020 9:51,2025
202550,Summer 2025 Intersession,5/19/2025,6/5/2025,2425,9/20/2023 7:36,2025
202560,Summer 2025,6/9/2025,8/1/2025,2425,1/14/2020 9:52,2025
202620,Fall 2025,8/25/2025,12/12/2025,2526,1/14/2020 10:12,2026
202630,Winter 2025 Intersession,12/22/2025,1/9/2026,2526,8/21/2024 9:45,2025
202640,Spring 2026,1/14/2026,5/8/2026,2526,1/14/2020 10:14,2026
202660,Summer 2026,6/8/2026,7/31/2026,2526,1/14/2020 10:15,2026
202720,Fall 2026,8/24/2026,12/11/2026,2627,10/27/2020 13:31,2027
202740,Spring 2027,1/13/2027,5/7/2027,2627,10/27/2020 13:32,2027
202760,Summer 2027,6/7/2027,7/30/2027,2627,10/27/2020 13:33,2027
202820,Fall 2027,8/23/2027,12/10/2027,2728,10/27/2020 13:38,2028
202840,Spring 2028,1/12/2028,5/5/2028,2728,10/27/2020 13:38,2028
202860,Summer 2028,6/5/2028,7/28/2028,2728,10/27/2020 13:50,2028
202920,Fall 2028,8/21/2028,12/8/2028,2829,10/27/2020 13:41,2029
202940,Spring 2029,1/10/2029,5/4/2029,2829,10/27/2020 13:49,2029
202960,Summer 2029,6/4/2029,7/27/2029,2829,10/27/2020 13:51,2029
203020,Fall 2029,8/20/2029,12/7/2029,2930,1/10/2024 14:59,2030
203040,Spring 2030,1/16/2030,5/10/2030,2930,1/10/2024 14:59,2030
203060,Summer 2030,6/10/2030,8/2/2030,2930,1/10/2024 15:00,2030
203120,Fall 2030,8/26/2030,12/13/2030,3031,1/10/2024 15:01,2031
203140,Spring 2031,1/15/2031,5/9/2031,3031,1/10/2024 15:26,2031
203160,Summer 2031,6/9/2031,8/1/2031,3031,1/10/2024 15:27,2031
203220,Fall 2031,8/25/2031,12/12/2031,3132,1/10/2024 15:08,2032
999999,The End of Time,1/1/2999,5/15/2999,9999,1/3/1995,9999
